Rk,G,Date,Age,Home vs Away,Opp,Win/Loss by:,GS,3P,3PA,3P%,Time Rested,Name
81,79.0,2018-04-09,28-245,Away,DET,W (+10),1,2.0,5.0,0.4,1.0,Demar Derozan
82,80.0,2018-04-11,28-247,Away,MIA,L (-7),1,0.0,2.0,0.0,2.0,Demar Derozan
1,1.0,2018-04-14,28-250,Home,WAS,W (+8),1,2.0,5.0,0.4,3.0,Demar Derozan
2,2.0,2018-04-17,28-253,Home,WAS,W (+11),1,3.0,6.0,0.5,3.0,Demar Derozan
3,3.0,2018-04-20,28-256,Away,WAS,L (-19),1,1.0,3.0,0.33299999999999996,3.0,Demar Derozan
4,4.0,2018-04-22,28-258,Away,WAS,L (-8),1,1.0,4.0,0.25,2.0,Demar Derozan
5,5.0,2018-04-25,28-261,Home,WAS,W (+10),1,3.0,4.0,0.75,3.0,Demar Derozan
6,6.0,2018-04-27,28-263,Away,WAS,W (+10),1,0.0,4.0,0.0,2.0,Demar Derozan
7,7.0,2018-05-01,28-267,Home,CLE,L (-1),1,0.0,4.0,0.0,4.0,Demar Derozan
8,8.0,2018-05-03,28-269,Home,CLE,L (-18),1,0.0,5.0,0.0,2.0,Demar Derozan
9,9.0,2018-05-05,28-271,Away,CLE,L (-2),1,0.0,0.0,,2.0,Demar Derozan
10,10.0,2018-05-07,28-273,Away,CLE,L (-35),1,0.0,0.0,,2.0,Demar Derozan
1,1.0,2017-10-19,31-208,Home,CHI,W (+17),1,1.0,3.0,0.33299999999999996,N/A,Kyle Lowry
2,2.0,2017-10-21,31-210,Home,PHI,W (+34),1,4.0,10.0,0.4,2.0,Kyle Lowry
3,3.0,2017-10-23,31-212,Away,SAS,L (-4),1,2.0,8.0,0.25,2.0,Kyle Lowry
4,4.0,2017-10-25,31-214,Away,GSW,L (-5),1,1.0,8.0,0.125,2.0,Kyle Lowry
5,5.0,2017-10-27,31-216,Away,LAL,W (+9),1,3.0,7.0,0.429,2.0,Kyle Lowry
6,6.0,2017-10-30,31-219,Away,POR,W (+14),1,3.0,6.0,0.5,3.0,Kyle Lowry
7,7.0,2017-11-01,31-221,Away,DEN,L (-18),1,1.0,5.0,0.2,2.0,Kyle Lowry
8,8.0,2017-11-03,31-223,Away,UTA,W (+9),1,3.0,6.0,0.5,2.0,Kyle Lowry
9,9.0,2017-11-05,31-225,Home,WAS,L (-11),1,0.0,2.0,0.0,2.0,Kyle Lowry
10,10.0,2017-11-07,31-227,Home,CHI,W (+5),1,1.0,4.0,0.25,2.0,Kyle Lowry
11,11.0,2017-11-09,31-229,Home,NOP,W (+4),1,4.0,10.0,0.4,2.0,Kyle Lowry
12,12.0,2017-11-12,31-232,Away,BOS,L (-1),1,4.0,8.0,0.5,3.0,Kyle Lowry
13,13.0,2017-11-14,31-234,Away,HOU,W (+16),1,2.0,7.0,0.28600000000000003,2.0,Kyle Lowry
14,14.0,2017-11-15,31-235,Away,NOP,W (+9),1,4.0,10.0,0.4,1.0,Kyle Lowry
15,15.0,2017-11-17,31-237,Home,NYK,W (+23),1,5.0,7.0,0.7140000000000001,2.0,Kyle Lowry
16,16.0,2017-11-19,31-239,Home,WAS,W (+9),1,1.0,6.0,0.16699999999999998,2.0,Kyle Lowry
17,17.0,2017-11-22,31-242,Away,NYK,L (-8),1,4.0,10.0,0.4,3.0,Kyle Lowry
18,18.0,2017-11-24,31-244,Away,IND,L (-3),1,5.0,9.0,0.556,2.0,Kyle Lowry
19,19.0,2017-11-25,31-245,Away,ATL,W (+34),1,4.0,7.0,0.5710000000000001,1.0,Kyle Lowry
20,20.0,2017-11-29,31-249,Home,CHO,W (+13),1,8.0,11.0,0.727,4.0,Kyle Lowry
21,21.0,2017-12-01,31-251,Home,IND,W (+5),1,3.0,9.0,0.33299999999999996,2.0,Kyle Lowry
